Location,Price
West Stephen,1471.33
Gibbston,1424.36
Johnbury,1387.23
Ronaldchester,1386.69
Lake Glenn,1359.72
West Jenniferport,1159.26
East Nicolemouth,1124.85
Côte d'Ivoire,1101.047
Port Juan,1076.75
Bulgarie,1047.882105263158
Barbade,1020.3922727272728
Australie,1010.79
Port Luis,973.97
Johnland,961.14
Corée du Nord,939.8983333333332
Brésil,929.58
Kevinview,919.9
Afrique du Sud,914.6338095238095
Arabie saoudite,907.9350000000001
El Salvador,888.8484615384616
Gabon,884.2336842105262
Cambodge,883.4133333333333
Égypte,879.9847368421052
Bolivie,874.9863157894738
Estonie,872.3418750000001
Belize,865.3995652173912
Chine,854.5295238095238
Autriche,851.345
Arménie,850.145
États-Unis,837.2044000000001
Bangladesh,833.1569999999999
Corée du Sud,824.9775
Chili,823.57875
Costa Rica,820.5875
Éthiopie,817.1323809523809
Andorre,815.3204166666666
Géorgie,807.845
Bahreïn,807.5868421052631
Emirats arabes unis,806.3215789473685
Cubas,805.1436363636363
Dominique,800.351
Angola,794.2457142857144
Djibouti,791.8000000000001
France,781.3016
Antigua-et-Barbuda,781.2690909090908
Eswatini (anciennement Swaziland),774.7682352941176
Stephaniebury,773.39
Cameroun,770.09
Finlande,768.5991666666667
Brendamouth,766.92
Espagne,766.446
Burundi,754.579090909091
Fédération de Russie,749.435625
Burkina Faso,743.625
Bhoutan,743.0559999999999
Brunei,729.358
Colombie,728.535
Danemark,725.7173684210526
Bénin,720.1423529411765
Belgique,718.3018518518519
Comores,716.5410714285715
Lake Molly,715.6
Allemagne,713.5464285714286
Algérie,712.08875
Croatie,686.7413333333334
Chypre,682.3609523809524
Bosnie-Herzégovine,675.2857142857143
New Jessicaberg,665.0
Botswana,657.6566666666666
South Ronald,613.68
Canada,593.468947368421
West Sarahport,557.32
Barneschester,544.31
Argentine,478.1027272727273
North Linda,455.29
Barbaraville,435.43
South Nathanmouth,416.77
Woodbury,360.53
Jonesborough,331.98
